,Unnamed: 0,video_id,video_title,upload_date,view_count,comment_count,group,product_type
0,0,jVp8kWxCpn4,【試聴動画】TOKIMEKI Runners（12人Ver.) / 虹ヶ咲学園スクールアイドル同好会(「ラブライブ！虹ヶ咲学園スクールアイドル同好会」TVアニメ2期 BD 第5巻特典CD5 ),2022-09-19,34483,206,niji,music
1,1,tihrddzPAqs,【5th Liveにて公開】 虹ヶ咲学園スクールアイドル同好会からのお知らせ🌈,2022-09-18,74265,262,niji,others
2,2,0PeIh81yGZ4,【2022年9月16日配信】ラブライブ！スーパースター!! Liella!生放送～今夜はみんなでお祭りだ！～,2022-09-16,83372,61,liella,stream
3,3,Jy6GgLCV8bk,ラブライブ！虹ヶ咲学園スクールアイドル同好会生放送 with You!! 5th Live! 虹が咲く場所後夜祭♪次の未来へTOKIMEKI Parade☆,2022-09-14,0,0,niji,stream
4,4,a4HGK2UFJGg,【やっぱりぶっつけ本番】Liella!のグッズ紹介 ～絵森彩のリベンジ編～,2022-09-13,68079,193,liella,others
5,5,aaxj6XU-Akw,【第81回】ラブライブ！スーパースター!! 結女放課後放送局 リエラジ！／#81 Lovelive! Superstar!! Liella! Radio,2022-09-13,26044,69,liella,stream
6,6,Gs9YpmlIAvI,『きょうのAqours』第7回 桜内梨子　『Today&#39;s Aqours』 #7 Riko Sakurauchi,2022-09-12,32106,161,aqours,others
7,7,5BmbXBhgZzs,スクスタ イベントエピソード人気投票 第1位「モンスターハロウィン！」,2022-09-12,15135,50,Series,game
8,8,pRkFI_Y2opI,【試聴動画】Liella!のドコいく？2nd Season Part.1（TVアニメ「ラブライブ！スーパースター!!」2期 Blu-ray第2巻映像特典）,2022-09-11,38907,67,liella,music
9,9,0PCpp8HOSNU,"【SPOT】TVアニメ『ラブライブ！スーパースター!!』２期第６話挿入歌/第８話挿入歌「ビタミンSUMMER！ / Chance Day, Chance Way！」【第8話盤】",2022-09-11,16446,29,liella,others
10,10,iTWUqL0P42Q,"【試聴動画】TVアニメ『ラブライブ！スーパースター!!』２期第６話挿入歌/第８話挿入歌「ビタミンSUMMER！ / Chance Day, Chance Way！」",2022-09-11,49538,140,liella,music
11,11,4wKBNVE_DVU,"【限定公開】Chance Day, Chance Way！ / Liella!【TVアニメ『ラブライブ！スーパースター!!』2期第8話挿入歌】",2022-09-11,364360,797,liella,music
12,12,N-VSgWHBxkw,【9/14(水)発売！】ラブライブ！シリーズ カウントダウンライブBD #Shorts,2022-09-09,46938,48,Series,others
13,13,2T-7_dzunEw,【試聴動画】「ゆうさんぽ2（前編）」  (「ラブライブ！虹ヶ咲学園スクールアイドル同好会」TVアニメ2期BD5巻映像特典),2022-09-09,38805,77,niji,music
14,14,Ma-zyi6pM-U,【試聴動画】ラブライブ！サンシャイン!! 黒澤ルビィ サードソロコンサートアルバム,2022-09-07,60134,173,aqours,music
15,15,VbLpOUravcY,【試聴動画】R3BIRTH 2ndシングル「Vroom Vroom」,2022-09-07,148426,511,niji,music
16,16,xolWk9t0pXI,【試聴動画】ラブライブ！サンシャイン!! 桜内梨子 サードソロコンサートアルバム,2022-09-05,103348,228,aqours,music
17,17,Z9KPXUh3Aq0,ラブライブ！スーパースター!! Liella! スペシャル朗読動画 vol.22【米女メイ編】,2022-09-04,34416,94,liella,others
18,18,dxIJSaLOGJ0,ラブライブ！スーパースター!! Liella! スペシャル朗読動画 vol.24【鬼塚夏美編】,2022-09-04,25978,107,liella,others
19,19,YGMgXWGijJo,LoveLive! Series Official Playlist ~ Rock Fes. 2022 ~,2022-09-01,86804,331,Series,music
20,20,4eIx5CQZ22I,コットンキャンディえいえいおー！(ライブ Ver.) #Shorts,2022-08-31,1816592,336,aqours,others
21,21,f8IxazdS79s,コットンキャンディえいえいおー！踊ってみた！(黒澤ルビィ Ver.) #Shorts,2022-08-31,1074132,360,aqours,others
22,22,HwFUxbeXu_0,コットンキャンディえいえいおー！踊ってみた！(黒澤ダイヤ Ver.) #Shorts,2022-08-31,1481930,507,aqours,others
23,23,xmhA9akQuMU,【2022年8月27日配信】ラブライブ！スーパースター!! Liella!生放送～揃ったー！歌ったー！ビタミンSUMMER！～,2022-08-27,133718,85,liella,stream
24,24,YXng9TsoC6g,【試聴】LoveLive! Series Presents COUNTDOWN LoveLive! 2021→2022～LIVE with a smile!～ Blu-ray Memorial BOX,2022-08-26,256739,262,Series,music
25,25,mKmB6jICKFM,【試聴動画】「ラブライブ！虹ヶ咲学園スクールアイドル同好会」TVアニメ2期 Blu-ray 第4巻特装限定版特典CD4 R3BIRTH「Look at me now」,2022-08-25,90084,265,niji,music
26,26,3p9ZOylu0Yo,『きょうのAqours』第6回 松浦果南　『Today&#39;s Aqours』 #6 Kanan Matsuura,2022-08-22,38417,218,aqours,others
27,27,_rLihz4cQ4E,【限定公開】ビタミンSUMMER！ / Liella!【TVアニメ『ラブライブ！スーパースター!!』2期第6話挿入歌】,2022-08-21,707664,1223,liella,music
28,28,-XS878a8GVw,【試聴動画】ラブライブ！虹ヶ咲学園スクールアイドル同好会 UNIT LIVE  FAN MEETING vol.4 R3BIRTH 〜First DELIGHT〜  (アニメ2期BD4巻特典),2022-08-19,118880,305,niji,music
29,29,Lm_R5e_4U0o,【ぶっつけ本番で】Liella! 2期生がグッズ紹介に挑戦！,2022-08-16,110374,287,liella,others
30,30,XcUWqp1BgwU,【第77回】ラブライブ！スーパースター!! 結女放課後放送局 リエラジ！／#77 Lovelive! Superstar!! Liella! Radio,2022-08-16,33914,53,liella,stream
31,31,Jwo66xq1Vsc,スクスタ ストーリー41章挿入歌「永遠の一瞬」MV,2022-08-10,95615,227,Series,game
32,32,FWfbcO3dWIU,【楽曲試聴】ラブライブ！サンシャイン!! × 初音ミクコラボ アニメーションPV付きシングル 「BANZAI! digital trippers」,2022-08-09,77137,325,aqours,music
33,33,eG4z8-Ay5O4,【試聴動画】Aqours EXTRA LoveLive! ～DREAMY CONCERT 2021～ Blu-ray Memorial BOX,2022-08-04,288539,134,aqours,music
34,34,t_2rHz_e6y0,「Aqours EXTRA LoveLive! ～DREAMY CONCERT 2021～ Blu-ray Memorial BOX」CM（30秒Ver.）,2022-08-04,31504,61,aqours,others
